site,ID,date,barr burden,barr prev
PANP,PANPLog,1,0,0
PANP,PANPLog,1,0,0
PANP,PANPLog,4,0,0
PANP,PANPLog,4,0,0
PANP,PANPLog,4,4,1
PANP,PANPLog,4,0,0
PANP,PANPLog,4,1,1
PANP,PANPLog,4,0,0
PANP,PANPLog,5,0,0
PANP,PANPLog,5,5,1
PANP,PANPLog,5,0,0
PANP,PANPLog,6,0,0
PANP,PANPLog,6,1,1
PANP,PANPLog,6,0,0
PANP,PANPLog,6,0,0
PANP,PANPLog,6,2,1
PANP,PANPLog,6,0,0
PANP,PANPLog,6,0,0
PANP,PANPLog,6,0,0
PANP,PANPLog,6,11,1
PANP,PANPLog,6,0,0
PANP,PANPTH,1,0,0
PANP,PANPTH,1,1,1
PANP,PANPTH,1,10,1
PANP,PANPTH,1,7,1
PANP,PANPTH,1,2,1
PANP,PANPTH,1,16,1
PANP,PANPTH,1,12,1
PANP,PANPTH,1,33,1
PANP,PANPTH,1,0,0
PANP,PANPTH,1,2,1
PANP,PANPTH,2,23,1
PANP,PANPTH,2,10,1
PANP,PANPTH,2,12,1
PANP,PANPTH,2,0,0
PANP,PANPTH,2,0,0
PANP,PANPTH,3,0,0
PANP,PANPTH,3,20,1
PANP,PANPTH,4,48,1
PANP,PANPTH,4,9,1
PANP,PANPTH,4,10,1
PANP,PANPTH,4,7,1
PANP,PANPTH,4,22,1
PANP,PANPTH,5,34,1
PANP,PANPTH,5,7,1
PANP,PANPTH,5,12,1
PANP,PANPTH,5,20,1
PANP,PANPTH,5,22,1
PANP,PANPTH,6,13,1
PANP,PANPTH,6,4,1
PANP,PANPTH,6,8,1
PANP,PANPTH,6,6,1
PANP,PANPTH,6,2,1
PANP,PANPTH,6,10,1
PANP,PANPTH,6,0,0
PANP,PANPTH,6,0,0
PANP,PANPTH,6,7,1
PANP,PANPTH,6,7,1
PANP,PANPTH,7,26,1
PANP,PANPTH,8,10,1
PANP,PANPTH,8,8,1
PANP,PANPTH,8,8,1
PANP,PANPTH,8,2,1
PANP,PANPTH,8,0,0
PANP,PANPTH,8,13,1
PANP,PANPTH,8,0,0
PANP,PANPTH,8,7,1
PANP,PANPTH,9,6,1
PANP,PANPTH,9,6,1
PIA,PIALBP,3,9,1
PIA,PIALBP,3,17,1
PIA,PIALBP,3,0,0
PIA,PIALBP,3,4,1
PIA,PIALBP,3,18,1
PIA,PIALBP,4,10,1
PIA,PIALBP,4,33,1
PIA,PIALBP,4,13,1
PIA,PIALBP,4,25,1
PIA,PIALBP,4,37,1
PIA,PIALBP,4,20,1
PIA,PIALBP,4,31,1
PIA,PIALBP,4,14,1
PIA,PIALBP,5,13,1
PIA,PIALBP,5,24,1
PIA,PIALBP,5,18,1
PIA,PIALBP,5,27,1
PIA,PIALBP,5,18,1
PIA,PIALBP,5,12,1
PIA,PIALBP,5,11,1
PIA,PIALBP,5,0,0
PIA,PIALBP,5,15,1
PIA,PIALBP,5,30,1
PIA,PIALBP,6,35,1
PIA,PIALBP,6,30,1
PIA,PIALBP,6,10,1
PIA,PIALBP,6,11,1
PIA,PIALBP,6,0,0
PIA,PIALBP,6,29,1
PIA,PIALBP,6,0,0
PIA,PIALBP,6,33,1
PIA,PIALBP,6,16,1
PIA,PIALBP,6,25,1
PIA,PIALBP,7,16,1
PIA,PIALBP,7,26,1
PIA,PIALBP,7,11,1
PIA,PIALBP,7,3,1
PIA,PIALBP,7,9,1
PIA,PIALBP,7,29,1
PIA,PIALBP,8,12,1
PIA,PIALBP,8,48,1
PIA,PIALBP,8,27,1
PIA,PIALBP,8,16,1
PIA,PIALBP,8,3,1
PIA,PIALBP,8,11,1
PIA,PIALBP,8,24,1
PIA,PIALBP,8,2,1
PIA,PIALBP,8,26,1
PIA,PIASJ,2,2,1
PIA,PIASJ,4,21,1
PIA,PIASJ,4,30,1
PIA,PIASJ,4,10,1
PIA,PIASJ,4,16,1
PIA,PIASJ,4,26,1
PIA,PIASJ,4,26,1
PIA,PIASJ,4,20,1
PIA,PIASJ,4,23,1
PIA,PIASJ,4,13,1
PIA,PIASJ,4,24,1
PIA,PIASJ,5,22,1
PIA,PIASJ,5,12,1
PIA,PIASJ,5,7,1
PIA,PIASJ,5,14,1
PIA,PIASJ,5,19,1
PIA,PIASJ,5,3,1
PIA,PIASJ,5,10,1
PIA,PIASJ,5,16,1
PIA,PIASJ,6,32,1
PIA,PIASJ,6,35,1
PIA,PIASJ,6,21,1
PIA,PIASJ,6,12,1
PIA,PIASJ,6,0,0
PIA,PIASJ,6,23,1
PIA,PIASJ,6,27,1
PIA,PIASJ,6,32,1
PIA,PIASJ,6,17,1
PIA,PIASJ,6,34,1
PIA,PIASJ,7,6,1
PIA,PIASJ,7,26,1
PIA,PIASJ,7,13,1
PIA,PIASJ,7,14,1
PIA,PIASJ,7,0,0
PIA,PIASJ,7,16,1
PIA,PIASJ,7,21,1
PIA,PIASJ,7,8,1
PIA,PIASJ,8,20,1
PIA,PIASJ,8,34,1
PIA,PIASJ,8,21,1
PIA,PIASJ,8,10,1
PIA,PIASJ,8,6,1
PIA,PIASJ,8,0,0
PIA,PIASJ,8,28,1
PIA,PIASJ,8,15,1
PIA,PIALBPTH,1,14,1
PIA,PIALBPTH,1,0,0
PIA,PIALBPTH,1,5,1
PIA,PIALBPTH,1,10,1
PIA,PIALBPTH,1,5,1
PIA,PIALBPTH,1,7,1
PIA,PIALBPTH,2,2,1
PIA,PIALBPTH,2,30,1
PIA,PIALBPTH,2,6,1
PIA,PIALBPTH,2,10,1
PIA,PIALBPTH,2,13,1
PIA,PIALBPTH,2,14,1
PIA,PIALBPTH,2,29,1
PIA,PIALBPTH,2,17,1
PIA,PIALBPTH,2,28,1
PIA,PIALBPTH,2,17,1
PIA,PIALBPTH,3,32,1
PIA,PIALBPTH,3,5,1
PIA,PIALBPTH,3,17,1
PIA,PIALBPTH,3,18,1
PIA,PIALBPTH,3,40,1
PIA,PIALBPTH,3,37,1
PIA,PIALBPTH,3,35,1
PIA,PIALBPTH,4,86,1
PIA,PIALBPTH,4,51,1
PIA,PIALBPTH,5,280,1
PIA,PIALBPTH,5,109,1
